frame,master_track_id,class_name,state,frames_visible,frames_occluded,confidence_decay,centroid_x,centroid_y,velocity_x,velocity_y
161,1,box,VISIBLE,159,0,0.5556,173.56,341.33,-2.71,0.19
161,2,ball,OCCLUDED,32,82,0.089,500.31,476.9,-2.99,1.44
162,1,box,VISIBLE,160,0,0.5242,170.74,341.69,-2.79,0.31
162,2,ball,OCCLUDED,32,83,0.078,497.32,478.35,-2.99,1.44
163,1,box,VISIBLE,161,0,0.424,168.26,341.31,-2.57,-0.17
163,2,ball,OCCLUDED,32,84,0.067,494.34,479.79,-2.99,1.44
164,1,box,VISIBLE,162,0,0.5214,165.39,340.64,-2.78,-0.52
164,2,ball,OCCLUDED,32,85,0.056,491.35,481.23,-2.99,1.44
165,1,box,VISIBLE,163,0,0.4412,162.8,340.04,-2.65,-0.58
165,2,ball,OCCLUDED,32,86,0.044,488.36,482.68,-2.99,1.44
166,1,box,VISIBLE,164,0,0.4743,160.39,339.6,-2.48,-0.48
166,2,ball,OCCLUDED,32,87,0.033,485.37,484.12,-2.99,1.44
167,1,box,VISIBLE,165,0,0.5339,157.74,341.04,-2.6,0.87
167,2,ball,OCCLUDED,32,88,0.022,482.38,485.56,-2.99,1.44
168,1,box,VISIBLE,166,0,0.4839,155.34,341.24,-2.46,0.4
168,2,ball,OCCLUDED,32,89,0.011,479.4,487.01,-2.99,1.44
169,1,box,VISIBLE,167,0,0.5085,152.91,340.79,-2.44,-0.2
169,2,ball,OCCLUDED,32,90,0.0,476.41,488.45,-2.99,1.44
170,1,box,VISIBLE,168,0,0.4709,149.75,339.91,-2.94,-0.67
170,2,ball,LOST,32,91,0.0,473.42,489.89,-2.99,1.44
171,1,box,VISIBLE,169,0,0.4567,147.58,339.71,-2.4,-0.34
171,2,ball,LOST,32,92,0.0,470.43,491.34,-2.99,1.44
172,1,box,VISIBLE,170,0,0.5006,145.47,338.84,-2.19,-0.71
172,2,ball,LOST,32,93,0.0,467.44,492.78,-2.99,1.44
173,1,box,VISIBLE,171,0,0.4788,142.94,338.85,-2.43,-0.21
173,2,ball,LOST,32,94,0.0,464.46,494.22,-2.99,1.44
174,1,box,VISIBLE,172,0,0.4808,140.38,338.11,-2.53,-0.58
