frame,track_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height,raw_track_id,memory_state,velocity_x,velocity_y
99,1,box,0.6968,71.78,121.37,631.4,566.05,351.59,343.71,559.62,444.68,1,VISIBLE,-5.02,0.01
100,1,box,0.7509,65.74,121.07,627.12,566.03,346.43,343.55,561.38,444.96,1,VISIBLE,-5.12,-0.11
101,1,box,0.6943,58.24,120.78,621.84,566.36,340.04,343.57,563.59,445.58,1,VISIBLE,-6.01,-0.02
102,1,box,0.6271,52.8,120.82,617.47,566.32,335.13,343.57,564.67,445.5,1,VISIBLE,-5.24,-0.01
103,1,box,0.6606,47.15,120.69,613.0,566.29,330.07,343.49,565.84,445.6,1,VISIBLE,-5.11,-0.06
104,1,box,0.7219,41.59,120.54,608.58,566.34,325.08,343.44,566.99,445.8,1,VISIBLE,-5.03,-0.05
105,1,box,0.7159,36.25,120.38,604.39,566.41,320.32,343.39,568.14,446.03,1,VISIBLE,-4.84,-0.05
106,1,box,0.6843,30.26,120.22,599.88,566.57,315.07,343.39,569.62,446.35,1,VISIBLE,-5.13,-0.01
107,1,box,0.6603,23.94,120.18,594.75,566.61,309.34,343.39,570.81,446.43,1,VISIBLE,-5.55,-0.0
108,1,box,0.6399,18.38,120.13,590.02,566.52,304.2,343.32,571.63,446.39,1,VISIBLE,-5.27,-0.05
109,1,box,0.577,10.94,119.98,583.7,566.55,297.32,343.27,572.76,446.57,1,VISIBLE,-6.4,-0.06
110,1,box,0.5466,4.85,119.89,578.99,566.78,291.92,343.33,574.15,446.88,1,VISIBLE,-5.7,0.03
111,1,box,0.5456,0.99,119.84,575.94,567.01,288.47,343.42,574.95,447.17,1,VISIBLE,-4.13,0.07
112,1,box,0.4504,0.0,119.22,573.38,567.2,286.69,343.21,573.38,447.98,1,VISIBLE,-2.48,-0.13
113,1,box,0.3868,0.0,119.02,570.44,567.31,285.22,343.17,570.44,448.29,1,VISIBLE,-1.77,-0.07
114,1,box,0.4512,0.0,118.96,567.59,567.38,283.79,343.17,567.59,448.41,1,VISIBLE,-1.53,-0.02
117,1,box,0.3527,0.0,118.58,559.84,568.07,279.92,343.32,559.84,449.49,1,VISIBLE,-1.36,0.03
118,1,box,0.4889,0.0,118.44,555.78,567.9,277.89,343.17,555.78,449.46,1,VISIBLE,-1.83,-0.1
119,1,box,0.4611,0.0,118.41,551.62,567.91,275.81,343.16,551.62,449.5,1,VISIBLE,-2.0,-0.04
120,1,box,0.3815,0.0,118.51,547.31,568.28,273.65,343.39,547.31,449.77,1,VISIBLE,-2.11,0.15
121,1,box,0.4359,0.0,118.25,543.05,568.14,271.52,343.19,543.05,449.89,1,VISIBLE,-2.12,-0.09
122,1,box,0.4478,0.0,118.18,538.56,568.02,269.28,343.1,538.56,449.83,1,VISIBLE,-2.21,-0.09
123,1,box,0.4756,0.0,118.16,534.24,568.1,267.12,343.13,534.24,449.94,1,VISIBLE,-2.17,-0.01
124,1,box,0.5278,0.0,118.14,529.42,567.89,264.71,343.02,529.42,449.75,1,VISIBLE,-2.34,-0.08
125,1,box,0.4868,0.0,117.69,524.78,566.88,262.39,342.28,524.78,449.19,1,VISIBLE,-2.33,-0.54
126,1,box,0.4566,0.0,117.6,520.05,566.48,260.02,342.04,520.05,448.88,1,VISIBLE,-2.35,-0.33
127,1,box,0.4594,0.0,117.41,515.38,566.17,257.69,341.79,515.38,448.76,1,VISIBLE,-2.34,-0.27
128,1,box,0.4552,0.0,117.48,511.08,566.93,255.54,342.21,511.08,449.45,1,VISIBLE,-2.21,0.21
129,1,box,0.4196,0.0,117.53,506.49,567.28,253.24,342.4,506.49,449.76,1,VISIBLE,-2.27,0.2
130,1,box,0.418,0.0,118.11,501.81,568.04,250.91,343.07,501.81,449.93,1,VISIBLE,-2.32,0.53
131,1,box,0.4704,0.0,118.29,497.16,568.19,248.58,343.24,497.16,449.9,1,VISIBLE,-2.32,0.27
132,1,box,0.4355,0.0,117.7,492.04,567.71,246.02,342.71,492.04,450.01,1,VISIBLE,-2.49,-0.29
133,1,box,0.4003,0.0,117.6,487.39,568.29,243.69,342.95,487.39,450.69,1,VISIBLE,-2.37,0.08
134,1,box,0.4249,0.0,117.54,482.73,568.52,241.36,343.03,482.73,450.98,1,VISIBLE,-2.34,0.08
135,1,box,0.438,0.0,117.39,477.85,567.98,238.92,342.68,477.85,450.59,1,VISIBLE,-2.41,-0.22
136,1,box,0.525,0.0,117.69,472.61,568.32,236.3,343.0,472.61,450.63,1,VISIBLE,-2.56,0.16
137,1,box,0.5825,0.0,117.51,467.69,567.99,233.85,342.75,467.69,450.48,1,VISIBLE,-2.49,-0.13
138,1,box,0.4997,0.0,117.47,462.64,568.02,231.32,342.74,462.64,450.55,1,VISIBLE,-2.51,-0.04
139,1,box,0.4203,0.0,117.46,457.3,567.88,228.65,342.67,457.3,450.42,1,VISIBLE,-2.62,-0.07
140,1,box,0.5408,0.0,117.27,452.6,567.97,226.3,342.62,452.6,450.69,1,VISIBLE,-2.43,-0.05
141,1,box,0.5277,0.0,117.25,447.69,567.99,223.85,342.62,447.69,450.74,1,VISIBLE,-2.45,-0.02
142,1,box,0.5171,0.0,117.19,442.78,567.93,221.39,342.56,442.78,450.74,1,VISIBLE,-2.45,-0.05
143,1,box,0.566,0.0,117.24,437.6,567.97,218.8,342.61,437.6,450.73,1,VISIBLE,-2.55,0.02
144,1,box,0.5088,0.0,117.01,432.49,567.61,216.25,342.31,432.49,450.59,1,VISIBLE,-2.55,-0.2
145,1,box,0.5359,0.0,117.51,427.25,567.56,213.62,342.53,427.25,450.05,1,VISIBLE,-2.6,0.1
146,1,box,0.5349,0.0,117.12,422.18,567.19,211.09,342.16,422.18,450.07,1,VISIBLE,-2.55,-0.24
147,1,box,0.5951,0.0,116.89,417.12,567.08,208.56,341.99,417.12,450.19,1,VISIBLE,-2.54,-0.19
148,1,box,0.5341,0.0,115.27,412.98,566.9,206.49,341.09,412.98,451.63,1,VISIBLE,-2.21,-0.69
149,1,box,0.4493,0.0,112.76,410.44,570.77,205.22,341.77,410.44,458.0,1,VISIBLE,-1.55,0.27
150,1,box,0.4665,0.0,111.67,406.14,572.48,203.07,342.08,406.14,460.81,1,VISIBLE,-1.97,0.3
151,1,box,0.4963,0.0,111.67,401.1,573.09,200.55,342.38,401.1,461.43,1,VISIBLE,-2.36,0.3
152,1,box,0.5005,0.0,110.39,396.03,572.38,198.01,341.38,396.03,461.99,1,VISIBLE,-2.48,-0.61
153,1,box,0.5652,0.0,110.25,390.41,571.73,195.21,340.99,390.41,461.48,1,VISIBLE,-2.71,-0.46
154,1,box,0.5488,0.0,110.81,384.48,570.55,192.24,340.68,384.48,459.74,1,VISIBLE,-2.89,-0.35
155,1,box,0.461,0.0,113.02,377.96,569.87,188.98,341.44,377.96,456.85,1,VISIBLE,-3.15,0.43
156,1,box,0.4917,0.0,113.37,373.03,570.48,186.51,341.92,373.03,457.11,1,VISIBLE,-2.67,0.46
157,1,box,0.4875,0.0,112.35,367.8,569.54,183.9,340.95,367.8,457.19,1,VISIBLE,-2.63,-0.55
158,1,box,0.5266,0.0,111.99,362.61,569.29,181.3,340.64,362.61,457.29,1,VISIBLE,-2.61,-0.38
159,1,box,0.5056,0.0,112.66,357.55,569.6,178.78,341.13,357.55,456.94,1,VISIBLE,-2.55,0.23
160,1,box,0.5016,0.0,112.29,352.79,569.83,176.39,341.06,352.79,457.54,1,VISIBLE,-2.43,0.02
161,1,box,0.5556,0.0,113.61,347.13,569.05,173.56,341.33,347.13,455.44,1,VISIBLE,-2.71,0.19
162,1,box,0.5242,0.0,115.04,341.47,568.34,170.73,341.69,341.47,453.29,1,VISIBLE,-2.79,0.31
163,1,box,0.424,0.0,114.72,336.53,567.91,168.26,341.31,336.53,453.19,1,VISIBLE,-2.57,-0.17
164,1,box,0.5214,0.0,115.39,330.78,565.9,165.39,340.65,330.78,450.51,1,VISIBLE,-2.78,-0.52
165,1,box,0.4412,0.0,115.46,325.6,564.61,162.8,340.04,325.6,449.16,1,VISIBLE,-2.65,-0.58
166,1,box,0.4743,0.0,115.12,320.78,564.08,160.39,339.6,320.78,448.97,1,VISIBLE,-2.48,-0.48
167,1,box,0.5339,0.0,117.44,315.47,564.65,157.74,341.04,315.47,447.21,1,VISIBLE,-2.6,0.87
168,1,box,0.4839,0.0,117.77,310.68,564.71,155.34,341.24,310.68,446.94,1,VISIBLE,-2.46,0.4
169,1,box,0.5085,0.0,118.0,305.81,563.58,152.9,340.79,305.81,445.58,1,VISIBLE,-2.44,-0.2
170,1,box,0.4709,0.0,119.78,299.5,560.05,149.75,339.91,299.5,440.27,1,VISIBLE,-2.94,-0.67
171,1,box,0.4567,0.0,119.78,295.16,559.64,147.58,339.71,295.16,439.86,1,VISIBLE,-2.4,-0.34
172,1,box,0.5006,0.0,118.59,290.95,559.09,145.48,338.84,290.95,440.5,1,VISIBLE,-2.19,-0.71
173,1,box,0.4788,0.0,119.55,285.88,558.15,142.94,338.85,285.88,438.61,1,VISIBLE,-2.43,-0.21
174,1,box,0.4808,0.0,119.99,280.75,556.23,140.38,338.11,280.75,436.24,1,VISIBLE,-2.53,-0.58
175,1,box,0.4889,0.0,119.76,275.94,554.95,137.97,337.36,275.94,435.19,1,VISIBLE,-2.44,-0.7
176,1,box,0.4452,0.0,120.13,271.12,553.25,135.56,336.69,271.12,433.12,1,VISIBLE,-2.42,-0.68
177,1,box,0.4299,0.0,120.89,265.71,550.01,132.85,335.45,265.71,429.12,1,VISIBLE,-2.62,-1.07
178,1,box,0.3595,0.0,121.21,261.91,551.07,130.96,336.14,261.91,429.86,1,VISIBLE,-2.12,0.16
179,1,box,0.3877,0.0,121.71,257.76,551.72,128.88,336.71,257.76,430.01,1,VISIBLE,-2.09,0.45
180,1,box,0.4094,0.0,123.1,252.78,549.74,126.39,336.42,252.78,426.65,1,VISIBLE,-2.37,-0.07
181,1,box,0.4252,0.0,123.46,248.42,549.49,124.21,336.48,248.42,426.03,1,VISIBLE,-2.24,0.02
182,1,box,0.4173,0.0,123.56,244.01,548.66,122.0,336.11,244.01,425.1,1,VISIBLE,-2.21,-0.25
183,1,box,0.3936,0.0,124.35,239.14,546.71,119.57,335.53,239.14,422.36,1,VISIBLE,-2.37,-0.48
185,1,box,0.3909,0.0,124.91,232.08,544.91,116.04,334.91,232.08,420.0,1,VISIBLE,-1.95,-0.36
186,1,box,0.3884,0.0,124.94,227.97,544.64,113.99,334.79,227.97,419.7,1,VISIBLE,-2.02,-0.19
187,1,box,0.4646,0.0,125.38,223.29,542.83,111.65,334.11,223.29,417.44,1,VISIBLE,-2.24,-0.54
188,1,box,0.4563,0.0,125.29,219.43,543.24,109.72,334.27,219.43,417.95,1,VISIBLE,-2.02,-0.05
189,1,box,0.4741,0.0,125.46,215.54,543.7,107.77,334.58,215.54,418.25,1,VISIBLE,-1.97,0.21
190,1,box,0.3824,0.0,124.85,211.67,543.9,105.84,334.38,211.67,419.04,1,VISIBLE,-1.95,-0.08
