frame,master_track_id,class_name,state,frames_visible,frames_occluded,confidence_decay,centroid_x,centroid_y,velocity_x,velocity_y
87,2,ball,OCCLUDED,39,48,0.467,574.03,475.28,3.62,-0.19
88,1,box,VISIBLE,88,0,0.9247,648.66,404.26,-0.05,0.33
88,2,ball,OCCLUDED,39,49,0.456,577.65,475.09,3.62,-0.19
89,1,box,VISIBLE,89,0,0.9355,647.91,404.41,-0.54,0.2
89,2,ball,OCCLUDED,39,50,0.444,581.27,474.9,3.62,-0.19
90,1,box,VISIBLE,90,0,0.9428,647.48,404.42,-0.46,0.07
90,2,ball,VISIBLE,40,0,0.4889,896.39,486.71,7.89,-0.02
91,1,box,VISIBLE,91,0,0.9406,647.26,404.25,-0.29,-0.09
91,2,ball,VISIBLE,41,0,0.5427,901.09,486.38,5.65,-0.24
92,1,box,VISIBLE,92,0,0.9372,647.16,404.16,-0.16,-0.09
92,2,ball,VISIBLE,42,0,0.5552,906.23,486.32,5.3,-0.11
93,1,box,VISIBLE,93,0,0.9329,647.17,404.02,-0.04,-0.12
93,2,ball,VISIBLE,43,0,0.7819,912.39,486.28,5.9,-0.06
94,1,box,VISIBLE,94,0,0.9309,647.15,403.99,-0.03,-0.06
94,2,ball,VISIBLE,44,0,0.8262,920.87,486.17,7.7,-0.1
95,1,box,VISIBLE,95,0,0.9223,647.12,403.86,-0.03,-0.11
95,2,ball,VISIBLE,45,0,0.8107,929.37,486.0,8.26,-0.15
96,1,box,VISIBLE,96,0,0.9235,647.14,403.89,0.01,-0.01
96,2,ball,VISIBLE,46,0,0.7796,939.22,486.54,9.37,0.33
97,1,box,VISIBLE,97,0,0.9224,647.2,403.94,0.04,0.03
97,2,ball,VISIBLE,47,0,0.7225,949.0,487.19,9.66,0.56
98,1,box,VISIBLE,98,0,0.922,647.22,403.98,0.02,0.03
98,2,ball,VISIBLE,48,0,0.7907,958.07,487.6,9.25,0.45
99,1,box,VISIBLE,99,0,0.9183,647.24,403.97,0.02,0.01
99,2,ball,VISIBLE,49,0,0.8032,966.54,487.27,8.7,-0.09
100,1,box,VISIBLE,100,0,0.9137,647.24,403.93,0.01,-0.03
100,2,ball,VISIBLE,50,0,0.7491,975.11,487.11,8.61,-0.15
101,1,box,VISIBLE,101,0,0.9118,647.25,403.89,0.01,-0.04
101,2,ball,VISIBLE,51,0,0.7769,983.84,486.8,8.69,-0.26
102,1,box,VISIBLE,102,0,0.9042,647.25,403.82,0.0,-0.06
