frame,track_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height,raw_track_id,memory_state,velocity_x,velocity_y
51,1,box,0.9191,426.15,269.45,871.19,538.5,648.67,403.98,445.03,269.04,1,VISIBLE,-0.03,-0.01
52,1,box,0.9225,426.2,269.47,871.07,538.44,648.63,403.95,444.87,268.97,1,VISIBLE,-0.03,-0.02
53,1,box,0.9213,426.21,269.43,871.03,538.4,648.62,403.92,444.83,268.97,1,VISIBLE,-0.02,-0.03
54,1,box,0.9177,426.27,269.4,871.02,538.35,648.64,403.88,444.76,268.95,1,VISIBLE,0.01,-0.04
55,1,box,0.9169,426.3,269.35,871.04,538.31,648.67,403.83,444.74,268.97,1,VISIBLE,0.02,-0.04
56,1,box,0.9176,426.27,269.3,871.13,538.38,648.7,403.84,444.86,269.08,1,VISIBLE,0.03,-0.01
57,1,box,0.9176,426.29,269.32,871.12,538.41,648.7,403.87,444.83,269.09,1,VISIBLE,0.01,0.02
58,1,box,0.9201,426.36,269.37,871.05,538.4,648.71,403.89,444.7,269.03,1,VISIBLE,0.0,0.02
59,1,box,0.9227,426.41,269.4,871.02,538.39,648.71,403.9,444.61,268.99,1,VISIBLE,0.01,0.01
60,1,box,0.9232,426.44,269.41,870.98,538.37,648.71,403.89,444.54,268.97,1,VISIBLE,-0.0,0.0
61,1,box,0.9197,426.51,269.43,870.94,538.34,648.72,403.88,444.43,268.91,1,VISIBLE,0.01,-0.0
62,1,box,0.9151,426.55,269.43,870.91,538.31,648.73,403.87,444.36,268.88,1,VISIBLE,0.01,-0.01
63,1,box,0.9246,426.62,269.48,870.81,538.24,648.71,403.86,444.19,268.76,1,VISIBLE,-0.01,-0.01
64,1,box,0.9239,426.54,269.41,870.93,538.31,648.73,403.86,444.39,268.9,1,VISIBLE,0.01,-0.0
65,1,box,0.9241,426.49,269.4,871.0,538.39,648.74,403.9,444.51,268.99,1,VISIBLE,0.01,0.02
66,1,box,0.9282,426.42,269.4,871.0,538.46,648.71,403.93,444.58,269.06,1,VISIBLE,-0.02,0.03
67,1,box,0.9263,426.43,269.37,871.01,538.46,648.72,403.92,444.59,269.09,1,VISIBLE,0.0,-0.0
68,1,box,0.9253,426.48,269.35,870.94,538.38,648.71,403.86,444.46,269.03,1,VISIBLE,-0.01,-0.04
69,1,box,0.9233,426.46,269.29,870.91,538.33,648.69,403.81,444.45,269.04,1,VISIBLE,-0.02,-0.05
70,1,box,0.9189,426.44,269.25,870.91,538.32,648.68,403.78,444.47,269.07,1,VISIBLE,-0.01,-0.03
71,1,box,0.9207,426.45,269.26,870.83,538.28,648.64,403.77,444.38,269.02,1,VISIBLE,-0.03,-0.02
72,1,box,0.9214,426.4,269.26,870.87,538.35,648.63,403.81,444.47,269.09,1,VISIBLE,-0.01,0.02
73,1,box,0.9216,426.41,269.3,870.84,538.38,648.63,403.84,444.42,269.08,1,VISIBLE,-0.01,0.03
74,1,box,0.9214,426.52,269.41,870.75,538.36,648.64,403.89,444.23,268.95,1,VISIBLE,0.0,0.04
75,1,box,0.9178,426.57,269.44,870.71,538.32,648.64,403.88,444.14,268.89,1,VISIBLE,0.0,0.01
76,1,box,0.9197,426.59,269.43,870.68,538.27,648.64,403.85,444.09,268.84,1,VISIBLE,-0.0,-0.02
77,1,box,0.92,426.57,269.42,870.7,538.28,648.63,403.85,444.12,268.85,1,VISIBLE,-0.0,-0.01
78,1,box,0.9184,426.56,269.41,870.71,538.27,648.64,403.84,444.15,268.86,1,VISIBLE,-0.0,-0.01
79,1,box,0.9184,426.51,269.33,870.76,538.26,648.64,403.79,444.24,268.92,1,VISIBLE,-0.0,-0.03
80,1,box,0.9216,426.48,269.33,870.83,538.33,648.66,403.83,444.35,269.0,1,VISIBLE,0.01,0.01
81,1,box,0.9234,426.44,269.37,870.88,538.43,648.66,403.9,444.44,269.06,1,VISIBLE,0.01,0.05
82,1,box,0.9253,426.39,269.41,870.92,538.54,648.66,403.97,444.53,269.13,1,VISIBLE,-0.0,0.07
83,1,box,0.9197,426.34,269.38,870.91,538.55,648.63,403.97,444.57,269.16,1,VISIBLE,-0.02,0.01
84,1,box,0.9156,426.24,269.34,870.85,538.54,648.55,403.94,444.61,269.2,1,VISIBLE,-0.06,-0.01
85,1,box,0.9137,426.17,269.26,870.85,538.51,648.51,403.88,444.68,269.26,1,VISIBLE,-0.04,-0.04
86,1,box,0.9315,426.4,269.15,871.45,538.54,648.93,403.85,445.05,269.39,1,VISIBLE,0.28,-0.04
87,1,box,0.9283,426.24,269.13,871.16,538.39,648.7,403.76,444.92,269.26,1,VISIBLE,-0.07,-0.07
88,1,box,0.9247,426.53,269.87,870.8,538.65,648.66,404.26,444.27,268.78,1,VISIBLE,-0.05,0.33
89,1,box,0.9355,425.9,270.12,869.92,538.69,647.91,404.4,444.03,268.56,1,VISIBLE,-0.54,0.2
90,1,box,0.9428,425.57,270.22,869.39,538.61,647.48,404.41,443.83,268.39,1,VISIBLE,-0.46,0.07
90,2,ball,0.4889,870.84,441.89,921.95,531.54,896.39,486.71,51.11,89.66,3,VISIBLE,7.89,-0.02
91,1,box,0.9406,425.27,270.02,869.25,538.49,647.26,404.25,443.97,268.46,1,VISIBLE,-0.29,-0.09
